frequency_w,current_w,,cap_c,current_c,,v_s,v_c,,freq_5,current_5,,f_109,v_c_109
450,8.8,,0.56,86,,2.035,46.1,,548,18,,548,10.13
463,10.3,,0.55,81.4,,,,,544,17.8,,,
481,13.2,,0.54,67.9,,,,,539,17.6,,,
494,16.6,,0.53,52.8,,,,,534,17.1,,,
506,21.2,,0.52,42.7,,,,,529,16.7,,,
518,26.8,,0.51,35,,,,,519,15.3,,,
523,32.3,,0.5,29.3,,,,,511,14.1,,,
527,36.5,,0.49,24.6,,,,,501,12.9,,,
532,45,,0.48,21.2,,,,,491,11.6,,,
534,47.8,,0.46,16.4,,,,,482,10.5,,,
537,55.5,,0.44,13,,,,,472,9.5,,,
541,63.8,,0.4,8.6,,,,,460,8.5,,,
544,73.3,,0.35,6.1,,,,,453,7.9,,,
547,81.7,,0.57,77.7,,,,,552,18.1,,,
551,86,,0.58,65.4,,,,,556,18,,,
555,84.7,,0.59,54.1,,,,,565,17.6,,,
558,79.4,,0.6,50,,,,,571,17.1,,,
561,70,,0.61,42.7,,,,,580,16.3,,,
566,58.3,,0.62,37,,,,,589,15.2,,,
571,47.5,,0.63,32.7,,,,,595,14.5,,,
576,40.4,,0.64,28.9,,,,,607,13.1,,,
582,33.1,,0.65,26.3,,,,,617,12,,,
589,27.3,,0.67,22.3,,,,,628,11,,,
599,22.4,,0.69,19.5,,,,,635,10.4,,,
610,18.1,,0.73,15.6,,,,,644,9.6,,,
624,14.8,,0.78,12.8,,,,,655,8.8,,,
637,12.8,,,,,,,,,,,,
653,10.7,,,,,,,,,,,,
677,8.7,,,,,,,,,,,,
